#Menu	#Menu
User =	Felhasználó 
Join... =	Csatlakozás... 
Login... =	Bejelentkezés... 
Log in =	Bejelentkezés 
Logout =	Kijelentkezés 
Change password... =	Jelszómódosítása... 
User Preference =	Felhasználói preferencia  
System Settings... =	Rendszerbeállítások ... 
System Settings =	Rendszerbeállítások   
Crash =	Összeomlás 
Invite friends... =	Barátok meghívása... 
Language =	Nyelv 
Language Setting =	Nyelvi beállítás  
	
Document Recovery =	Dokumentum-helyreállítás  
Your Preferences Information =	Az Ön preferenciáira  vonatkozó információk  
File =	Fájl 
New =	Új 
Project... =	Projekt... 
Schematic =	Sematikus 
Schematic-Simulation =	Sematikus-szimuláció 
Spice Symbol =	Fûszer szimbólum  
Spice Subckt =	Fûszer egyéni  
spicePre =	spicePre 
PCB =	PCB 
Schematic Module =	Sematikus modul  
PCB Module =	PCB modul  
Save... =	Mentés... 
Save As... =	Mentés ... 
Save As Module... =	Mentés modulként...  
Print =	Nyomtatás 
Export Document =	Dokumentum exportálása  
LTspice... =	Tetvek... 
Eagle... =	Sas... 
Altium... =	Altium... 
Cadence... =	Ütem... 
Pads... =	Párna... 
DXF =	DXF 
Import =	Importálás 
	
	
Edit =	Szerkesztés 
Undo =	Visszavonás 
Redo =	Redo 
Cut =	Vágás 
Copy =	Másolás 
Paste =	Beillesztés 
Select =	Kijelölés 
Delete =	Törlés 
Clear All =	Törölje az összes  
Move =	Mozgás 
Drag =	Húzás 
Bring to Front =	Hozd elõre  
Send to Back =	Küldés   vissza 
Align =	Igazítás 
Align Left =	Balra igazítás 
Align Right =	Igazítás jobbra  
Align Top =	Felülre igazítása 
Align Bottom =	Igazítás alul  
Align Horizontal Centers =	Vízszintes  központok igazítása 
Align Vertical Centers =	Függõleges  központok igazítása 
Distribute Horizontally =	Vízszintes elterjesztés 
Distribute Vertically =	Függõleges eloszlás 
Distribute Left Edges Equidistantly =	A bal  szélek  egyenlõ eloszlása  
Distribute Top Edges Equidistantly =	A felsõ  élek  egyenlõ távolságra történõ elosztása 
Align Grid =	Rács igazítása 
Rotate =	Forgatás 
Rotate Left =	Forgatás balra  
Rotate Right =	Forgatás jobbra  
Flip Horizontal =	Tükrözés vízszintes  
Flip Vertical =	Függõleges tükrözés  
Rotate and Flip =	Forgatás és tükrözés 
Group/Ungroup Symbol... =	Csoport/Csoportbontási  szimbólum...
	
[menu_project]	[menu_project]
View =	Nézet 
[/menu_project]	[/menu_project]
Find =	Keresés 
Zoom In =	Nagyítás 
Zoom Out =	Kicsinyítés 
Fit in Window =	Elfér az ablakban  
Refresh =	Frissítés 
Snap =	Illesztás 
Cross Cursor =	Kereszt kurzor  
Toolbars =	Eszköztárak 
Drawing Tools =	Rajzeszközök   
Wiring Tools =	Huzalozási eszközök  
Power Objects =	Energiaobjektumok  
PCB Tools =	PCB eszközök  
Footprint Tools =	Lábnyom eszközök  
Layers Tool =	Rétegek eszköz  
Layer Manager =	Rétegkezelõ 
Enable and Show All Layers =	Az összes  réteg engedélyezése és megjelenítése  
Net Visible =	Nettó látható  
Auto =	Automatikus 
Digital Objects =	Digitális objektumok  
Tools =	Eszközök 
Arc Center =	Ív center 
Arc Type =	Ív típusa  
Center Point Arc =	Középsõ pont  ív 
Two-point Arc =	Kétpontos ív 
	
Place =	Hely 
Drawing Tools =	Rajzeszközök   
Arc =	Ív 
Elliptical Arc =	Elliptikus ív 
Ellipse =	Ellipszis 
Circle =	Kör 
Pie =	Láb 
Line =	Vonal 
Polyline =	Vonallánc 
Rectangle =	Téglalap 
Rectangular =	Téglalap alakú 
The rectangle does not support non-90 degree rotation. Please use Solid Region instead. =	A téglalap    nem  támogatja a nem 90  fokos  elforgatást. Használja inkább   a Szilárd  régiót  . 
	
Rect =	Rect 
Round Rectangle =	Kerek téglalap  
Polygon =	Sokszög 
Bezier =	Bezier 
Path =	Elérési út 
Graphic =	Grafika 
Bus =	Busz 
Bus Entry =	Buszbelépõ  
Junction =	Elágazás 
Net Port =	Nettó port 
Voltage Probe =	Feszültség szonda  
Power Port =	Tápcsatlakozó 
Wire =	Huzal 
Annotation =	Megjegyzés 
Track =	Track 
Image =	Kép 
Arrow Head =	Nyílfej 
Arrowhead =	Nyílhegy 
Arrow =	Nyíl 
No Connect Flag =	Nincs csatlakozás  jelzõ  
Place =	Hely 
Pin =	Kitûzõ 
Lock Selected Objects =	Kijelölt  objektumok  zárolása 
	
Miscellaneous =	Vegyes 
Find Component =	Összetevõ keresése 
Component =	Összetevõ 
Footprint... =	Lábnyom... 
This component is deleted! =	Ez az összetevõ  törlõdik  ! 
Convert =	Konvertálás 
Convert Schematic to PCB =	Sematikus   konvertálása PCB-re 
The component ID will be reset according to the component prefix, this operation will clear Undo histories. Please notice: =	Az összetevõ    azonosítója    alaphelyzetbe   áll   az összetevõ  elõtagja szerint,  ez a mûvelet  törli a Történelem visszavonása    parancsot. Kérjük,  vegye figyelembe:
Please make sure the component prefixes of the schematic and PCB are corresponding =	Gyõzõdjön meg  arról, hogy  a  sematikus és a  PCB  összetevõ  elõtagjai  megfelelõek    
